Site,CoreName_2,Core.Number,compression,sample,conversion ,consistent with Matts data,
Sacrifice Shallow,NS-SCs-1-BA-1,1,29.5,27.5,0.48245614,y,look good in matt's data already
Sacrifice Shallow,NS-SCs-2-BA-2,2,0,56,1,y,look good in matt's data already
Sacrifice Shallow,NS-SCs-3-BA-3,3,36.5,21,0.365217391,y,look good in matt's data already
Sacrifice Shallow,NS-SCs-4-BA-4,4,1,56,0.98245614,y,look good in matt's data already
Sacrifice Shallow,NS-SCs-5-SG-5,5,0,55,1,y,look good in matt's data already
Mason's Island Shallow,NS-MAs-3-SG-3,3,0,55.5,1,y,look good in matt's data already
Mason's Island Shallow,NS-MAs-4-BA-4,4,0,56.5,1,not sure,not sure
Mason's Island Shallow,NS-MAs-5-BA-5,5,8.5,48,0.849557522,not sure,not sure
Sambro Deep,NS-SAd-1-SG-1,1,12,44.5,0.787610619,y,look good in matt's data already
Sambro Deep,NS-SAd-2-SG-2,2,2.5,52.5,0.954545455,y,look good in matt's data already
Sambro Deep,NS-SAd-3-SG-3,3,5,53,0.913793103,y,look good in matt's data already
Sambro Deep,NS-SAd-4-BA-4,4,10.5,39,0.787878788,y,look good in matt's data already
Sambro Deep,NS-SAd-5-BA-5,5,8,36.5,0.820224719,y,look good in matt's data already
Sambro Shallow,NS-SAs-1-SG-1,1,6.5,43,0.868686869,n,these are very different than what's in matt's data
Sambro Shallow,NS-SAs-2-SG-2,2,35.5,7,0.164705882,n,these are very different than what's in matt's data
Sambro Shallow,NS-SAs-3-SG-3,3,41,9,0.18,n,these are very different than what's in matt's data
Sambro Shallow,NS-SAs-4-BA-4,4,1,22.5,0.957446809,n,these are very different than what's in matt's data
Sambro Shallow,NS-SAs-5-BA-5,5,18.5,10,0.350877193,n,these are very different than what's in matt's data
Taylor's Head Deep,NS-THd-1-SG-1,1,0,38,1,n,these are very different than what's in matt's data
Taylor's Head Deep,NS-THd-2-BA-2,2,0,38,1,n,these are very different than what's in matt's data
Taylor's Head Deep,NS-THd-3-BA-3,3,39.5,11,0.217821782,n,these are very different than what's in matt's data
Taylor's Head Deep,NS-THd-4-SG-4,4,24.5,18,0.423529412,n,these are very different than what's in matt's data
,,,8.5,39,0.821052632,not in data,not in matt's data
,,,0,48,1,not in data,not in matt's data
Port Joli,NS-PJO-1-SG,1,12,48,0.8,n,these are very different than what's in matt's data
Port Joli,NS-PJO-2-SG,2,12,47,0.796610169,n,these are very different than what's in matt's data
Port Joli,NS-PJO-3-SG,3,12,48,0.8,n,these are very different than what's in matt's data
Port Joli,NS-PJO-4-SG,4,12,43,0.781818182,n,these are very different than what's in matt's data
Port Joli,,5,,,0.8,est,
Port l'Hebert,,1,,,0.8,est,
Port l'Hebert,,2,,,0.8,est,
Port l'Hebert,,3,,,0.8,est,
Port l'Hebert,,4,,,0.8,est,
Port l'Hebert,,5,,,0.8,est,
Taylor's Head,,1,,,0.8,est,
Taylor's Head,,2,,,0.8,est,
Taylor's Head,,3,,,0.8,est,
Taylor's Head,,4,,,0.8,est,
Taylor's Head,,5,,,0.8,est,