"","Coast","Type","Site","Core.Number","CF_final","REI_Raw","Watercourse_NEAR_DIST.x","mean_mud"
"1","Atlantic","BA","Mason's Island Shallow",4,1,420.4247518,12230.32955,27.1142857142857
"2","Atlantic","BA","Mason's Island Shallow",5,0.849557522,420.4247518,12230.32955,28.9
"3","Atlantic","BA","Port Joli",4,0.781818182,1811.902815,23599.85735,39.1913844506364
"4","Atlantic","BA","Port Joli",5,0.8,1811.902815,23599.85735,45.246851058
"5","Atlantic","BA","Sacrifice Shallow",1,0.48245614,1013.474558,14864.16694,19.7
"6","Atlantic","BA","Sacrifice Shallow",2,1,1013.474558,14864.16694,29.2375
"7","Atlantic","BA","Sacrifice Shallow",3,0.365217391,1013.474558,14864.16694,21
"8","Atlantic","BA","Sacrifice Shallow",4,0.98245614,1013.474558,14864.16694,22.5
"9","Atlantic","BA","Sambro Deep",4,0.787878788,17547.67307,23533.52887,11.82
"10","Atlantic","BA","Sambro Deep",5,0.820224719,17547.67307,23533.52887,2.96
"11","Atlantic","BA","Sambro Shallow",4,0.957446809,10013.53126,23558.20146,2.3
"12","Atlantic","BA","Sambro Shallow",5,0.350877193,10013.53126,23558.20146,0.65
"13","Atlantic","BA","Taylor's Head",1,0.8,36577.20391,18787.93701,10.5134040951429
"14","Atlantic","BA","Taylor's Head",5,0.8,36577.20391,18787.93701,10.72284548875
"15","Atlantic","BA","Taylor's Head Deep",2,1,53200.07583,18665.01085,16.86
"16","Atlantic","BA","Taylor's Head Deep",3,0.217821782,53200.07583,18665.01085,14.775
"17","Atlantic","SG","Mason's Island Shallow",3,1,420.4247518,12230.32955,30.6625
"18","Atlantic","SG","Port Joli",1,0.8,1811.902815,23599.85735,50.312281286
"19","Atlantic","SG","Port Joli",2,0.796610169,1811.902815,23599.85735,47.5360853972727
"20","Atlantic","SG","Port Joli",3,0.8,1811.902815,23599.85735,42.947964165
"21","Atlantic","SG","Port l'Hebert",1,0.8,1577.623654,27198.60056,63.4085898888889
"22","Atlantic","SG","Port l'Hebert",2,0.8,1577.623654,27198.60056,69.7017486233333
"23","Atlantic","SG","Port l'Hebert",4,0.8,1577.623654,27198.60056,62.4604597527273
"24","Atlantic","SG","Port l'Hebert",5,0.8,1577.623654,27198.60056,70.5879207672727
"25","Atlantic","SG","Sacrifice Shallow",5,1,1013.474558,14864.16694,27.3875
"26","Atlantic","SG","Sambro Deep",1,0.787610619,17547.67307,23533.52887,7.7
"27","Atlantic","SG","Sambro Deep",2,0.954545455,17547.67307,23533.52887,8.88333333333333
"28","Atlantic","SG","Sambro Deep",3,0.913793103,17547.67307,23533.52887,7.3
"29","Atlantic","SG","Sambro Shallow",1,0.868686869,10013.53126,23558.20146,2.81666666666667
"30","Atlantic","SG","Sambro Shallow",2,0,10013.53126,23558.20146,8.1
"31","Atlantic","SG","Sambro Shallow",3,0,10013.53126,23558.20146,5.8
"32","Atlantic","SG","Taylor's Head",2,0.8,36577.20391,18787.93701,12.3136098058889
"33","Atlantic","SG","Taylor's Head",3,0.8,36577.20391,18787.93701,14.7681950961
"34","Atlantic","SG","Taylor's Head",4,0.8,36577.20391,18787.93701,15.0081902047
"35","Atlantic","SG","Taylor's Head Deep",1,1,53200.07583,18665.01085,12.64
"36","Atlantic","SG","Taylor's Head Deep",4,0.423529412,53200.07583,18665.01085,16.54
"37","Gulf of St.Lawrence","BA","Annandale",1,0.66401766004415,1656.040646,89030.64851,7.68333333333333
"38","Gulf of St.Lawrence","BA","Annandale",2,0.621129993865501,1656.040646,89030.64851,4.94
"39","Gulf of St.Lawrence","BA","Cardigan",1,0.77522485589346,1680.311839,81385.10969,16.475
"40","Gulf of St.Lawrence","BA","Cardigan",2,0.68089226465698,1680.311839,81385.10969,21.78
"41","Gulf of St.Lawrence","SG","Annandale",3,0.630933544303797,1656.040646,89030.64851,8.58
"42","Gulf of St.Lawrence","SG","Annandale",5,0.593045823670714,1656.040646,89030.64851,8.78
"43","Gulf of St.Lawrence","SG","Cardigan",3,0.647255969836615,1680.311839,81385.10969,18.3666666666667
"44","Gulf of St.Lawrence","SG","Cardigan",4,0.856606138477914,1680.311839,81385.10969,18.36
"45","Gulf of St.Lawrence","SG","Cardigan",5,0.843926553672316,1680.311839,81385.10969,15.04
"46","Pacific","BA","Centennial Beach",2,0.71208710658062,12570.55231,8718.593092,0
"47","Pacific","BA","Crescent Beach",2,0.821288563667751,10063.02181,13699.79929,0.333333333333333
"48","Pacific","BA","Fulmore",5,0.539764875109503,729.1859637,58527.17962,18.3166666666667
"49","Pacific","BA","Parksville",4,0.555170821791321,5429.014022,37982.6795,0
"50","Pacific","BA","Parksville",5,0.298954330145679,5429.014022,37982.6795,0
"51","Pacific","BA","Roberts Bank North",1,0.62451323987539,17885.86984,8436.399749,7.1
"52","Pacific","BA","Roberts Bank North",2,0.568993506493506,17885.86984,8436.399749,54.6
"53","Pacific","BA","Roberts Bank North",3,0.499066388754482,17885.86984,8436.399749,23.28
"54","Pacific","BA","Sandy Island Exposed",4,0.760866445806524,24452.5404,32635.46911,0
"55","Pacific","BA","Sandy Island Exposed",5,0.695587769252369,24452.5404,32635.46911,0
"56","Pacific","BA","Sooke",7,0,6339.905435,31277.59156,4.7
"57","Pacific","BA","TFN Intercauseway",4,0.346424010217114,3767.029841,7931.438082,18.125
"58","Pacific","BA","TFN Intercauseway",5,0.384124177227626,3767.029841,7931.438082,14.85
"59","Pacific","BA","Tsawwassen",4,0.392671504297257,3471.954224,8487.07946,11.525
"60","Pacific","BA","Tsawwassen",5,0.463501291989664,3471.954224,8487.07946,18.76
"61","Pacific","BA","Tsawwassen",7,0.555555555555556,3471.954224,8487.07946,2.54
"62","Pacific","SG","Airpark",3,0.618738129154796,10488.30575,11002.10462,4.4
"63","Pacific","SG","Airpark",4,0.923993577748348,10488.30575,11002.10462,4.16666666666667
"64","Pacific","SG","Cates Park",1,0.556718348263765,1322.051462,11932.15437,4.86
"65","Pacific","SG","Centennial Beach",1,0.567388473108812,12570.55231,8718.593092,2.06
"66","Pacific","SG","Crescent Beach",1,0.737287418641879,10063.02181,13699.79929,0
"67","Pacific","SG","Fulmore",2,0.529578220623515,729.1859637,58527.17962,29.625
"68","Pacific","SG","Fulmore",4,0.748529699040304,729.1859637,58527.17962,29.1666666666667
"69","Pacific","SG","Parksville",1,0.695697647271404,5429.014022,37982.6795,0.271428571428571
"70","Pacific","SG","Parksville",2,0.51381094016188,5429.014022,37982.6795,0
"71","Pacific","SG","Parksville",3,0.575552644817146,5429.014022,37982.6795,0.14
"72","Pacific","SG","Sandy Island Exposed",1,0.714285714285714,24452.5404,32635.46911,0
"73","Pacific","SG","Sandy Island Exposed",3,0.795238095238096,24452.5404,32635.46911,1.66
"74","Pacific","SG","Sooke",1,0.550976800976801,6339.905435,31277.59156,12.48
"75","Pacific","SG","Sooke",2,0.42264073478091,6339.905435,31277.59156,5.375
"76","Pacific","SG","Sooke",3,0.302725136561995,6339.905435,31277.59156,8.75
"77","Pacific","SG","Sooke",4,0.307377693880762,6339.905435,31277.59156,6.675
"78","Pacific","SG","Sooke",5,0.375008218043413,6339.905435,31277.59156,6.875
"79","Pacific","SG","TFN Intercauseway",1,0.465659639208867,3767.029841,7931.438082,15.76
"80","Pacific","SG","TFN Intercauseway",2,0.62894076904705,3767.029841,7931.438082,11.3666666666667
"81","Pacific","SG","TFN Intercauseway",3,0.529107935322941,3767.029841,7931.438082,6.18
"82","Pacific","SG","Tsawwassen",1,0.500941423911538,3471.954224,8487.07946,21.8
"83","Pacific","SG","Tsawwassen",2,0.463769831991383,3471.954224,8487.07946,18
"84","Pacific","SG","Tsawwassen",3,0.437403088159939,3471.954224,8487.07946,19.04
